event_type_id,name,date,contact_email,phone,website,location,street,city,state,zip,number_of_participants,online_registration_link,ContactFirstName,ContactLastName,ContactTitle,CompanyName,BillingAddress,BillingCity,BillingState,BillingZip,notes,results_url,course_map_url
,SIXTH ANNUAL DAVE KNOPP MEMORIAL 5K RUN/WALK,6/13/2015,jesiii@hughes.net,2606363621 ,http://www.e-clubhouse.org/sites/albionin/page-8.php,Central Noble Middle School,Elm Street,Albion,IN,,,,Jim,Sprague,,,??,,,,Could Be a faithful cuew to work with. They seem like the tech would go over there heads but might need someone to manage online stuff for them.,,None
,YMCA of DeKalb County 5K walk/run,6/13/2015,l.shonka@ymcadekalb.org,2609259622 ,http://ymcadekalb.org/news-and-events.htm,YMCA DeKalb,533 North St.,Auburn,IN,46706,,,Lynn,Shonka,,,"533 North St. Auburn, IN 46706",,,,,,None
,Oscar's Annual 5k,6/13/2015,Nicole.Christlieb@gmail.com, ,None,Churubusco High School,1 Eagle Drive,Churubusco,IN,46723,,,Nicole,Christlieb,,,"Turtle Days Association
123 Main Street, P.O. Box",,,,Looks like they have good sponcership and could be looking to put on a nice quality event.,,None
,Night Run 5k Walk/Run,6/13/2015,kcook@jaycc.org, ,http://jaycc.org/events/index.php?option=com_eventbooking&view=event&id=1&catid=1&Itemid=101,Jay County Fairgrounds,806 E Votaw Street,Portland,IN,,,,Kyle,Cook,,,"115 Water St Portland,IN 47371",,,,Could be a good event in the future. We should Keep an eye on them,,None
,3rd Annual RibFest 5K,6/20/2015,Andrew.Schmitz@fwcs.k12.in.us, ,http://www.bbqribfest.com/5k.html,Headwaters Park,330 S Clinton St,Fort Wayne,IN,46802,,,Andrew,Schmitz,,,"14808 Harbourside Ct., Fort Wayne, Indiana 46814",,,,Looks like it could be a great event with the partnership with Ribfest. They need something to help them grow more attention. The contact could help us with school stuff depending.,,None
,Strawberry Daze 1 Mile & 1/2 Mile Runs,6/20/2015,shepherdb@westnoble.k12.in.us,2608944638 ,,Pettit Park????,,Ligonier,IN,,,,Brian,Shepherd,,,Brian Shepherd       700 Westfield Drive Legonier,,,,This looks like a really small race I am not sure why they don't offer other distances maybe they have a hook that just isn't being exploited,,None
,Formula For Life 5k run/walk,4/12/2015,https://www.runreg.com/Contact/formulaforlife5k,2604337815 ,https://www.runreg.com/formulaforlife5k,Fort Wayne,2701 Spring Street,Fort Wayne,IN,46808,139,,Saint,Francis,,,,,,,,,
,,,, ,,,,,,,,,,,,,,,,,,,
,CG Sports & Recreation - 4th Annual 5k/10k Run Walk,5/9/2015,tpowell32@msn.com,2602414875 ,https://runsignup.com/Race/IN/Decatur/CGSports5k10kRace,,,,,,,,Tim,Powell,,,,,,,,,
,Pink Ribbon run,5/9/2015,pamrwolfe@aol.com,2604968000 ,http://raceroster.com/events/2015/2866/2nd-annual-pink-ribbon-run,,,,,,,,Pamela,Wolfe,,,,,,,,,
,YMCA Sock Soaker,5/9/2015,ymcasocksoaker@yahoo.com/ Scott.craft@Huntingtony.org,2603599622 ,http://www.runrace.net/findarace.php?id=15129IN1&tab=a2,,,,,,,,Scott,Craft,,,,,,,,,
,Kendallville Kiwanis Club and Kendallville Parks Dept Mother's Day 5K Run/Walk,5/10/2015,mnbobay@gmail.com,2603185071 ,,,,,,,,,Mindy,Bobay,,,,,,,,,
,Annual Light it up Blue,5/16/2015,mccfortwayne@yahoo.com, ,,,,,,,,,Multicultural,Council,,,,,,,,,
,Blue Jay Bolt,5/16/2015,bbonelli@eacs.k12.in.us,2604460240 7516,http://www.runrace.net/findarace.php?id=15136IN1,,,,,,,,Bonnie,Bonelli,,,,,,,,,
,Noblesvill Mini Marathon,5/23/2015,scott.cranfill@noblesvilleminimarathon.com, ,http://noblesvilleminimarathon.com/,,,,,,,,Scott,Cranfill,,,,,,,,,
,Running with the Dawgs,5/23/2015,garylbird@teambird.org,2602293324 ,http://www.runningwiththedawgs.com/,,,,,,,,Gary,Bird,,,,,,,,,
,Race for the Warior,5/23/2015,fortwaynebasecc@gmail.com, ,www.fortwaynebcc.org,,,,,,,,Roger,Reece,(Runner Relations Chair),,,,,,,,
,Raining Cats & Dogs,5/23/2015,shepherdb@westnoble.k12.in.us,2608944638 ,,,,,,,,,Lexi,Shepherd,,,,,,,,,
,Cinco de mile,5/29/2015,ligoniertrackclub@gmail.com, ,http://facebook.com/ligoniertrackclub,,,,,,,,Daric,Weimer,,,,,,,,,
,Girls on the Run 5K,5/30/2015,ggailgerber@yahoo.com, ,,,,,,,,,Gail,Gerber,,,,,,,,,
,Stars and Stripes Race,5/30/2015,shepherdb@westnoble.k12.in.us, ,,,,,,,,,Brian,Shepherd,,,,,,,,,
,Come Unity 6K For Water,5/30/2015,comeunityfw@yahoo.com, ,http://www.comeunitynow.org/,,,,,,,,Rebecca,Rinehart,,,,,,,,,
,Habitat for Humanity - Family Fun 5K Run/ Walk - Race the Roof!,6/6/2015,Events@hfhnei.org,2609252508 ,www.hfhnei.org,,,,,,,,Erin/Eric,Bond/Daniels,,,,,,,,,
,5K For Type 1,6/7/2015,walkorrunfortype1@gmail.com, ,http://walkorrunfortype1.weebly.com/,Winona Lake Park,1590 Park Ave.,Winona Lake,IN,46590,,,Keeton,Bartol,,,??,,,,Looks like it could be smaller.,,None
,2015 BeefCake 4K Cross Country Series,6/8/2015,dhsBaronscc@gmail.com, ,None,DeKalb High School,,,,,,,Wade,Buchs,,,??,,,,"Small Race series may be nice. Keep in mind we don't have a scorring system down for Cross Country. On the 8th, 15th, and 22nd",,None
,Chicks Run,6/11/2015,sports@ci.blufton.in.us,18559695515 ,http://raceroster.com/events/2015/4076/chicks-run,Bluffton City Gym,128 E. Market St.,,,,,,Laurie,Baumgatner,,,218 N Scott St. Bluffton IN 46714,,,,"This is put on by the Bluffton Parks Department, looks like a well publicized event",,None
,"15th Chad's Water Treatment Apache 5K, Alex's One Mile Fun Run, Kline 1.5 mi Run",6/13/2015,curt.foust@centrallocal.org,4196582511 ,http://www.centrallocal.org/apaches/,Fairview Elementary School,14060 Blosser Road,Sherwood,OH,43556,,,Curt,Foust,,,"14060 Blosser Rd. Sherwood, OH 43556 ",,,,They have lots of awards for there age groups. This means good sponser. This is put on by the Fairview Athletic Boosters,,None
,MYAC Musical 5k,6/13/2015,kristenworks@yahoo.com, ,http://www.kendallvillemyac.org/5k-registration.html,Bixler Park,??,,,,,,Kristen,Johnson,,,"234 S Main Street Kendallville, IN 46755",,,,Not a bunch of useful info online. Might be something we suggest they look at. This event seems to locally focused to waist to much time on.,,None
,Outrun the Sun Race Against Melanoma,6/13/2015,eli@outrunthesun.org,3172532121 ,http://outrunthesun.kintera.org/faf/home/default.asp?ievent=1130345,Fort Benjamin Harrison State Park,5753 Glenn Rd,Indianapolis,IN,46216,,,Eli,Cangany,,,"8435 Keystone Crossing, Suite 175
Indianapolis, IN",,,,"Event is from Indianapolis, we will need to keep that in mind to make sure we arent stepping in on toes",,http://www.kintera.org/htmlcontent.asp?cid=619668
,Courthouse Classic,6/20/2015,info@courthouseclassic.com,2604634962 101,http://www.courthouseclassic.com/,"LaGrange, Indiana at the county courthouse",105 North Detroit Street,LaGrange,IN,46761,184,,Gary Connie,Grogg Richards,,,Millers Market???,,,,We are up against the columbia city Timer I think. This looks like a decent size race will probably stall at 200 unless they get a better hook.,,https://www.google.com/maps/d/viewer?mid=zgJ6ZpfO8Tzw.kok6hNkekUhA
,DESOTO DASH 5K RUN/WALK,6/20/2015,DESOTODASH@GMAIL.Com,7657449383 ,http://desotoumchurch.org/DeSoto%20Dash,DeSoto United Methodist Church,6309 N CR 500 E,Muncie,IN,47303,,,GARY,MARSHALL,,,"DeSoto United Methodist Church
 6309 N CR 500 E
 M",,,,This looks like a really small event. They arent charging any entry fee. It is all to help raise money for YFC of the local HS/MS,,None
,Johnson Farm Seed & Supply/Nester Ag Presents the Fairview 4 Mile Relay and 2 Mi,6/20/2015,curt.foust@centrallocal.org,4196582511 ,None,Fairview Elementary School,"14060 Blosser Road, Sherwood, OH  43556",,,,,,Curt,Foust,,,"14060 Blosser Rd. Sherwood, OH 43556",,,,"This event has the same contact as 15th Chad's Water Treatment Apache 5K, Alex's One Mile Fun Run, Kline 1.5 mi Run, Nether is very big but it may be worth talking to this guy.",,None
,Camp Lutherhaven 5K Trail Run/Walk and Moose Chase Mile,6/20/2015,smithje0512@gmail.com,2602711018 ,http://www.lutherhaven.org/sub_getinvolved/5ktrail/5ktrailpost.php,Camp Lutherhaven,1596 South 150,"West
Albion",IN,46701,,,Janet,Smith,,,"1596 South 150 West
Albion, IN  46701",,,,,,http://www.lutherhaven.org/images/maps/5k%20trail%20map.jpg
,Heritage Days 5k,6/20/2015,mibtiming@gmail.com,2604171138 ,None,Kriegbaum Field,1959 N Jefferson St,Huntington,IN,46750,,,Curtis,Ray Hines,,,"MEN IN BLACK RUNNING CLUB    6071 N 250 E, Hunting",,,,This race looks like it is rather small and could grow,,None
,Father's Day 5K,6/20/2015,Steve@AssociatedChurches.org,2604223528 ,http://www.associatedchurches.org/templates/System/details.asp?id=52868&PG=404&RecordType=&pkg=,Associated Churches,602 E Wane St,Fort Wayne,IN,46802,,,Steve,Staley,,,602 E Wane St        Fort Wayne IN 46802,,,,Looks like an event that could grow. They did registration on there own. I am also not seeing any results online. abcde,,None
,DINO Potato Creek 7km Trail Run,6/20/2015,Brian15@DINOseries.com,3173367553 ,http://www.dinoseries.com/trail-running,"Potato Creek State Park, South Bend, IN",Potato Creek State Park,South Bend,IN,,,,Brian,Holzhausen,,,"DINO, LLC
P.O. Box 36395
Indianapolis, IN 46236",,,,Please note that this is put on by a company out of Indy that puts on event around the state. They probably have there own timer but we should contact them.,,http://static1.1.sqspcdn.com/static/f/1923838/26095434/1427809420700/PotatoCreekTri.pdf?token=EisC8uwn64BNM80Pg1BnXM9CQB4%3D
,The Micro Brew Mile & 6K,6/20/2015,djsherrod1@yahoo.com, ,http://www.microbrewmile.com/,"The Bier Stube, Beer Garden",415 15th Street,Moline,IL,61265,,,Joshua,Sherrod,,,,,,,This is a big race on the far side of Illionis. They have a great setup. I would say it would be great to time but it will take a lot of plainning.,,http://www.microbrewmile.com/the-race/course-map
,We've Got Your Back Race for Spinal Health - Carmel,6/20/2015,smatthews@indianaspinegroup.com,3177155890 ,http://www.active.com/carmel-in/running/distance-running-races/we-ve-got-your-back-race-for-spinal-health-carmel-2015,Indiana Spine Group,13225 N. Meridian Street,Carmel,IN,46032,,,Stacia,Matthews,,,,,,,,,
,,,, ,,,,,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,,,,,,,,,
